bhid,x,y,z,Au
217580.0,20005.89907,19002.84158,0.0,0.28
217633.0,19942.39375,18938.15409,0.0,1.68
217584.0,19949.06563,18927.17269,0.0,5.63
217596.0,19950.83626,18940.44092,0.0,1.24
217582.0,19940.808930000007,18925.36092,0.0,5.07
217638.0,19987.7766,18986.07201,0.0,0.34
217594.0,19999.0522,18991.96119,0.0,0.32
217877.0,19957.19894,18928.58822,0.0,0.54
218560.0,19995.57489,19009.62886,0.0,0.2
217626.0,20004.093,19010.94023,0.0,0.38
218618.0,19902.80259,18819.13818,0.0,0.4
217595.0,19909.95601,18806.98041,0.0,0.49
218352.0,19967.43474,18933.33783,0.0,0.66
217591.0,19911.318430000007,18798.3938,0.0,0.26
218335.0,19918.60712,18809.24042,0.0,2.35
217727.0,19920.00322,18800.63221,0.0,0.38
217590.0,20009.95004,19021.14812,0.0,0.41
217608.0,20011.99648,19013.10925,0.0,0.31
217832.0,20023.92278,19019.23477,0.0,0.54
218254.0,19897.55209,18800.09159,0.0,0.2
217625.0,19996.80156,19000.40436,0.0,0.2
217598.0,19928.46852,18802.41717,0.0,2.2
217734.0,20005.83186,18746.67178,0.0,0.63
217601.0,20014.15941,18748.55696,0.0,0.57
217600.0,19974.85755,18978.65788,0.0,0.94
218142.0,19979.43569,18983.22089,0.0,0.28
217620.0,20021.22473,18749.32636,0.0,1.84
217664.0,19958.42987,18962.08493,0.0,2.81
217629.0,19959.44969,18952.94556,0.0,1.27
218425.0,19966.53152,18963.8773,0.0,0.3
218500.0,19968.33988,18955.33747,0.0,0.78
217891.0,20014.29307,19004.42269,0.0,0.3
218469.0,19970.56353,18924.35527,0.0,1.71
217618.0,19951.01203,18952.26,0.0,6.52
218502.0,19961.61008,18944.58404,0.0,0.56
217940.0,20018.38019,19023.1933,0.0,0.46
217979.0,19965.1879,18763.94239,0.0,2.77
217607.0,19967.70902,18756.0507,0.0,0.21
218411.0,19995.91977,18786.03101,0.0,1.07
217609.0,20004.52786,18788.05715,0.0,0.78
218064.0,20015.18105,18685.10531,0.0,0.1
218184.0,20022.03094,18694.87853,0.0,0.36
218005.0,20024.19554,18687.06098,0.0,0.11
218356.0,19939.95656,18945.69485,0.0,0.33
217861.0,19944.26721,18908.60867,0.0,0.12
218442.0,19951.21413,18894.01633,0.0,0.54
217899.0,19949.272780000007,18960.81493,0.0,3.19
218054.0,19985.81375,18971.59601,0.0,0.35
218039.0,19933.15995,18935.57848,0.0,0.09
217627.0,19846.1365,18921.98249,0.0,0.47
217998.0,19854.43942,18923.84781,0.0,0.24
217630.0,19858.16075,18820.11229,0.0,0.09
218634.0,19890.68655,18814.47725,0.0,0.11
217786.0,19930.40553,18919.42341,0.0,0.1
218630.0,19952.17389,18910.59737,0.0,0.56
218514.0,19985.47077,18993.87317,0.0,0.66
218032.0,19994.23466,18973.84915,0.0,0.32
218607.0,19952.58235,18758.40696,0.0,0.45
218638.0,19956.13227,18748.52446,0.0,0.25
218045.0,19887.42762,18830.3173,0.0,0.05
218176.0,19894.27174,18841.50843,0.0,0.27
217819.0,19895.33394,18832.63899,0.0,0.26
217642.0,19987.11544,18729.43932,0.0,0.21
218899.0,20010.04209,18899.89334,0.0,1.14
217643.0,20018.08817,18901.37669,0.0,0.21
217644.0,19857.74266,18828.65186,0.0,0.04
217808.0,19865.44395,18830.48706,0.0,0.02
218057.0,19971.02453,18882.15571,0.0,0.2
217663.0,19982.16842,18889.21083,0.0,0.5
218476.0,19978.69234,18726.99744,0.0,0.42
217646.0,19980.29109,18718.85349,0.0,1.12
218295.0,19943.72258,18849.44153,0.0,1.07
219082.0,19946.18732,18841.44339,0.0,0.75
218918.0,19957.10201,18848.12259,0.0,0.2
218115.0,19978.40526,18992.17692,0.0,0.51
217714.0,19907.29535,18772.73679,0.0,0.28
218612.0,19919.29488,18780.05132,0.0,0.07
217904.0,20095.36846,18696.58456,0.0,1.18
217694.0,20104.19768,18697.56569,0.0,0.53
218812.0,20102.69534,18684.6602,0.0,0.27
217704.0,19875.40798,18802.42023,0.0,0.05
218565.0,19887.39249,18809.17394,0.0,0.06
217984.0,19972.7107,18711.46211,0.0,0.05
218963.0,19975.42513,18702.68586,0.0,0.06
217953.0,19984.50708,18703.9684,0.0,0.07
217820.0,19917.09431,18788.33165,0.0,0.21
217890.0,19967.55452,18701.79115,0.0,0.08
217656.0,19969.20059,18692.70176,0.0,0.18
218875.0,19977.58845,18694.94044,0.0,0.03
217659.0,20020.91158,18993.32102,0.0,0.37
218551.0,20027.39342,19002.72417,0.0,0.33
217812.0,20108.88389,18716.51067,0.0,0.13
217661.0,20120.13469,18723.63984,0.0,0.06
218104.0,20121.92739,18714.57526,0.0,0.29
218483.0,20022.74282,18984.74275,0.0,0.22
218379.0,20102.86318,18705.36192,0.0,0.61
217796.0,20114.0425,18712.45374,0.0,0.27
218083.0,20112.02428,18699.68894,0.0,0.81
218817.0,20128.46928,18725.12832,0.0,0.06
218574.0,19990.23742,18955.3299,0.0,1.51
217802.0,19997.88406,18958.2103,0.0,1.02
218230.0,19980.63035,18897.37529,0.0,0.23
217680.0,19959.02534,18897.00511,0.0,0.75
218049.0,19967.5354,18899.08224,0.0,0.61
218273.0,20035.87753,18883.15869,0.0,0.46
217666.0,20041.21454,18880.30651,0.0,0.37
218840.0,20033.51802,18658.08642,0.0,0.27
218955.0,20034.42937,18649.74155,0.0,0.09
219020.0,20046.21856,18655.93124,0.0,0.15
217800.0,19957.99702,18685.25708,0.0,0.23
217924.0,19968.05768,18679.24489,0.0,0.13
218208.0,20025.00447,19011.76705,0.0,0.29
218947.0,20033.31957,19012.94716,0.0,0.34
218261.0,19883.88422,18903.88339,0.0,0.6
217670.0,19886.48955,18895.9377,0.0,0.24
218380.0,19893.96008,18897.17218,0.0,0.18
218059.0,20035.92747,18982.36029,0.0,0.33
217700.0,20034.25268,18969.94569,0.0,0.87
218017.0,20007.38103,18937.84689,0.0,0.95
217672.0,20014.84808,18940.0581,0.0,0.17
218284.0,20013.11057,18948.67134,0.0,1.39
217679.0,20024.68795,18955.06817,0.0,0.23
218614.0,20026.42812,18946.7741,0.0,0.54
219007.0,19901.78343,18942.2829,0.0,0.56
217915.0,19902.94006,18955.27936,0.0,0.1
219173.0,19910.32698,18943.41157,0.0,0.14
217948.0,19993.12655,18717.53875,0.0,0.35
217731.0,19995.59127,18730.94419,0.0,0.79
217826.0,19978.85719,18782.23675,0.0,0.45
217685.0,19987.28944,18784.00725,0.0,2.94
218092.0,20002.37685,18976.48307,0.0,0.64
218088.0,20014.27505,18982.47212,0.0,0.33
218461.0,20016.22712,18974.43435,0.0,0.21
218457.0,20011.15791,18777.39969,0.0,1.04
217972.0,20013.35427,18769.66873,0.0,0.96
217729.0,20025.26575,18777.25364,0.0,0.75
217730.0,20027.70759,18959.57295,0.0,0.15
219124.0,19960.67572,18888.92312,0.0,0.25
218473.0,19911.27841,18957.18139,0.0,0.06
217682.0,19998.99798,18871.44197,0.0,0.67
217870.0,19867.51125,18822.05451,0.0,0.1
218491.0,19963.99236,18914.20128,0.0,0.13
217749.0,19972.16549,18917.12434,0.0,0.21
217854.0,20026.34828,18967.51581,0.0,0.24
219040.0,20118.74691,18730.68587,0.0,0.06
218060.0,20008.65912,18674.99105,0.0,0.26
218213.0,20017.36112,18676.88567,0.0,0.04
218456.0,19893.94532,18918.31187,0.0,0.14
218279.0,19905.23438,18925.63042,0.0,0.26
219013.0,19896.55332,18889.28177,0.0,0.42
218859.0,19903.30914,18877.94944,0.0,0.99
219086.0,19904.00674,18890.23012,0.0,0.4
218107.0,19938.63151,18796.26805,0.0,1.23
218001.0,19944.69654,18785.08161,0.0,0.84
218116.0,19948.50498,18811.88644,0.0,0.46
217696.0,19950.13494,18803.23521,0.0,1.43
217697.0,19877.29097,18859.04151,0.0,0.12
218096.0,19900.92502,18906.71711,0.0,0.32
218520.0,19902.77027,18899.06871,0.0,0.29
217920.0,19913.8391,18905.50645,0.0,0.4
217827.0,19977.8964,18927.24674,0.0,0.72
218485.0,19980.27116,18918.53383,0.0,0.67
217703.0,19936.891730000007,18782.82555,0.0,0.46
217774.0,19937.44428,18774.99599,0.0,0.09
218586.0,19877.14686,18794.19829,0.0,0.06
217875.0,19951.11421,18738.42029,0.0,0.12
218350.0,19960.07428,18726.411180000006,0.0,0.13
217976.0,19942.58781,18971.12732,0.0,6.18
218466.0,19889.2511,18799.21143,0.0,0.03
217867.0,19890.30542,18790.94125,0.0,0.12
218186.0,19898.95891,18793.2235,0.0,0.07
217708.0,19883.836880000006,18869.2117,0.0,0.29
217824.0,19884.86273,18861.13803,0.0,0.07
217751.0,20002.97929,18775.09813,0.0,1.08
217762.0,20006.68555,18683.45857,0.0,0.14
217757.0,20013.35759,18693.71425,0.0,0.06
217725.0,19989.09721,18899.38505,0.0,0.95
218595.0,19990.73797,18890.75066,0.0,0.22
218072.0,20023.04705,18784.52355,0.0,1.6
217718.0,20031.50347,18787.276830000006,0.0,0.61
217988.0,20034.19511,18779.00245,0.0,0.18
218570.0,19908.99186,18764.24492,0.0,0.22
217732.0,19912.50643,18913.82441,0.0,0.23
218314.0,19918.17071,18924.417380000006,0.0,0.15
217842.0,19920.12067,18915.56094,0.0,0.24
218080.0,19984.34862,19003.14947,0.0,0.26
218613.0,19996.39432,18965.06027,0.0,1.05
217717.0,20004.61395,18968.33381,0.0,0.38
217719.0,19832.63524,18923.12999,0.0,0.12
219128.0,19833.95739,18915.09211,0.0,0.17
218353.0,20006.3864,18758.41434,0.0,0.87
217721.0,19993.77907,19017.15049,0.0,0.21
218153.0,19996.74315,19022.4396,0.0,0.15
218529.0,19861.67845,18946.55111,0.0,0.79
217722.0,19866.88521,18943.5329,0.0,0.39
218180.0,20024.00291,18976.29307,0.0,0.14
217726.0,19892.60086,18905.57847,0.0,0.3
218534.0,19941.57468,18758.68026,0.0,0.16
217733.0,20015.31192,18761.47288,0.0,3.07
218187.0,19985.26267,18758.75757,0.0,1.26
217798.0,19996.18999,18764.88199,0.0,1.09
218458.0,19998.4724,18757.61876,0.0,0.21
218067.0,19978.73424,18748.54051,0.0,0.72
217753.0,19987.01318,18750.34991,0.0,1.7
218391.0,19985.99329,18737.62228,0.0,2.02
219069.0,20047.60274,18890.13812,0.0,2.29
218269.0,20048.20792,18882.001480000006,0.0,0.82
218294.0,19937.42721,18954.51879,0.0,0.82
218652.0,19978.00038,18870.77733,0.0,0.17
218264.0,20000.04117,18928.16209,0.0,0.6
217741.0,20008.47032,18929.48298,0.0,1.87
217801.0,19878.66821,18851.18222,0.0,0.05
217843.0,19887.3952,18852.7637,0.0,1.24
218043.0,19976.29708,18735.77104,0.0,0.51
217744.0,19869.13611,18792.28821,0.0,0.08
217768.0,19995.99185,18909.45043,0.0,0.07
218611.0,20007.056480000007,18916.43754,0.0,1.34
217911.0,19987.51813,18907.67088,0.0,0.53
218585.0,19997.56836,18901.30886,0.0,0.7
218290.0,19994.94496,18676.25132,0.0,0.18
218402.0,20005.07762,18767.41815,0.0,0.54
217880.0,20016.4042,18909.94371,0.0,0.66
217754.0,19984.92661,18937.02316,0.0,0.93
218056.0,19986.94137,18929.36113,0.0,1.19
218257.0,19858.72246,18841.76173,0.0,0.15
218494.0,19944.71838,18884.14674,0.0,0.12
218935.0,19952.60456,18887.28947,0.0,0.19
218229.0,19955.00751,18878.08311,0.0,0.31
217758.0,19927.61558,18759.66977,0.0,0.17
218628.0,19935.92692,18761.52969,0.0,0.29
217970.0,20007.50359,18994.37305,0.0,0.6
218302.0,19988.35402,18666.58538,0.0,0.15
217760.0,19997.14673,18668.52878,0.0,0.1
218426.0,19919.7234,18937.45695,0.0,0.1
217761.0,19925.31999,18933.58264,0.0,0.08
217938.0,20124.92389,18611.34023,0.0,3.54
217764.0,20133.79824,18613.37389,0.0,2.15
218212.0,20015.47398,18664.08434,0.0,0.3
218200.0,19989.40276,18877.8093,0.0,0.15
218928.0,19991.36507,18869.19451,0.0,0.49
217807.0,19997.21717,18879.52441,0.0,0.11
217769.0,20123.944730000007,18598.1943,0.0,4.79
217961.0,20132.16216,18600.18575,0.0,0.75
218198.0,19920.89107,18770.95826,0.0,0.26
217773.0,19929.55408,18773.32948,0.0,0.27
218608.0,20016.818,18931.64047,0.0,0.18
218220.0,19927.4941,18781.66227,0.0,0.12
217902.0,19974.54398,18765.72653,0.0,0.69
218373.0,19983.22365,18767.1601,0.0,3.02
218090.0,19987.49159,18963.68656,0.0,0.32
217779.0,20000.95351,18884.92438,0.0,0.2
218894.0,19897.51699,18868.30603,0.0,0.76
218245.0,20017.73059,18966.03062,0.0,0.44
218240.0,20030.77234,18986.53383,0.0,0.2
218971.0,20042.5553,18992.91766,0.0,0.11
218951.0,20043.93969,18985.12509,0.0,0.09
218408.0,19855.57446,18936.81058,0.0,0.36
218228.0,20028.00939,18938.67701,0.0,0.6
217900.0,20035.39531,18927.17828,0.0,0.23
218243.0,19998.39894,18935.94175,0.0,0.68
218504.0,19931.33427,18909.4749,0.0,0.19
218218.0,20008.30009,18907.66568,0.0,0.86
217934.0,20131.57368,18621.59829,0.0,1.81
217788.0,20140.12136,18623.90086,0.0,0.27
218044.0,19939.75152,18831.16694,0.0,0.58
218440.0,19946.18514,18819.85108,0.0,0.77
217791.0,20205.57589,18646.96747,0.0,0.05
217793.0,19888.744,18822.604,0.0,0.04
218855.0,19857.617980000006,18906.75203,0.0,0.21
217794.0,19866.18351,18908.67474,0.0,0.3
218177.0,19867.94184,18800.46989,0.0,0.31
218666.0,19906.96018,18861.90546,0.0,0.49
217797.0,19914.94256,18863.38213,0.0,1.72
217803.0,20086.32238,18606.11137,0.0,0.13
219121.0,20083.46735,18614.83517,0.0,0.1
217805.0,20093.20787,18616.84815,0.0,0.17
218450.0,20095.09568,18608.20983,0.0,0.44
218026.0,19943.61931,18870.72117,0.0,0.3
218266.0,19948.32124,18746.46254,0.0,0.21
217949.0,19886.02402,18951.04649,0.0,0.56
217990.0,19895.10102,18953.54439,0.0,0.34
217813.0,19961.6792,18867.26821,0.0,0.32
218952.0,19969.61655,18869.24913,0.0,0.15
218209.0,20014.87382,18917.67541,0.0,0.31
217814.0,20022.91313,18919.85239,0.0,0.48
217957.0,20028.523999999998,18916.11153,0.0,3.68
218536.0,19909.04516,18828.57592,0.0,4.16
217817.0,19910.83265,18820.42977,0.0,1.3
218624.0,19906.562680000006,18839.60404,0.0,3.16
218126.0,19922.39573,18792.16936,0.0,0.09
219100.0,19996.04706,18943.52287,0.0,0.86
218578.0,19932.70493,18902.14274,0.0,0.16
218241.0,19970.18637,18990.4241,0.0,0.48
217994.0,19922.98586,18909.07674,0.0,0.15
218046.0,19924.21995,18900.2159,0.0,0.22
217828.0,19838.58043,18933.53092,0.0,0.14
217830.0,19844.99985,18943.94861,0.0,0.98
218563.0,19931.21594,18943.94385,0.0,0.33
218602.0,19897.07713,18824.3311,0.0,0.15
218609.0,19913.22985,18871.84874,0.0,6.95
217874.0,19925.02993,18878.5187,0.0,0.43
218038.0,19881.04198,18820.34143,0.0,0.06
218732.0,19898.60435,18858.95695,0.0,0.62
218214.0,19940.202230000006,18890.46561,0.0,0.05
218055.0,20054.6263,18635.64837,0.0,0.06
218977.0,20056.5899,18626.96145,0.0,0.05
218982.0,20063.04062,18637.33529,0.0,0.09
218834.0,20063.58758,18628.57046,0.0,0.47
218542.0,19922.99613,18887.09615,0.0,0.4
217918.0,19931.59927,18888.15095,0.0,0.04
218622.0,19932.62971,18880.28827,0.0,0.1
218477.0,19994.62236,18773.1486,0.0,0.87
217878.0,19882.07401,18933.30507,0.0,1.16
