East(m),North(m),Z(placeholder),NCB(m),Phi,Sw
426577.889,6164271.357,0,15.327,0.292,0.478
461753.769,6165276.382,0,9.542,0.253,0.194
478839.196,6168291.457,0,20.213,0.257,0.188
437130.653,6149195.98,0,13.401,0.298,0.374
479844.221,6169296.482,0,15.786,0.276,0.236
464768.844,6137135.678,0,14.178,0.277,0.317
439140.704,6160753.769,0,9.577,0.286,0.219
469793.97,6139648.241,0,11.647,0.289,0.369
467783.92,6177336.683,0,18.061,0.295,0.122
478839.196,6137638.191,0,20.401,0.307,0.368
455221.106,6164271.357,0,13.365,0.284,0.335
478839.196,6172311.558,0,17.983,0.283,0.163
477834.171,6136633.166,0,11.104,0.343,0.569
459241.206,6168291.457,0,10.179,0.295,0.293
465773.869,6143165.829,0,18.203,0.337,0.443
470296.482,6156733.668,0,3.393,0.306,0.36
474819.095,6140653.266,0,10.425,0.277,0.548
445170.854,6159246.231,0,19.889,0.312,0.313
462256.281,6177839.196,0,44.067,0.275,0.357
453713.568,6169798.995,0,25.568,0.271,0.325
433613.065,6173316.583,0,13.184,0.277,0.299
455221.106,6132110.553,0,9.992,0.247,0.387
473311.558,6151708.543,0,6.12,0.261,0.542
476829.146,6157738.693,0,26.631,0.291,0.279
464768.844,6175326.633,0,19.482,0.285,0.292
453713.568,6177336.683,0,2.45,0.295,0.493
464768.844,6174824.121,0,19.433,0.279,0.264
462758.794,6175326.633,0,28.442,0.272,0.293
437130.653,6161256.281,0,9.974,0.266,0.193
441653.266,6145175.879,0,10.131,0.292,0.347
476326.633,6130603.015,0,15.782,0.288,0.264
478839.196,6142663.317,0,15.936,0.26,0.316
470296.482,6161758.794,0,10.236,0.254,0.196
457231.156,6120050.251,0,12.378,0.327,0.425
445673.367,6157236.181,0,21.891,0.283,0.3
429592.965,6124572.864,0,6.661,0.255,0.382
450698.492,6162763.819,0,26.067,0.278,0.318
461753.769,6154221.106,0,23.283,0.269,0.36
473814.07,6160251.256,0,21.268,0.309,0.383
473814.07,6165778.894,0,10.754,0.231,0.222
475321.608,6130100.503,0,7.493,0.288,0.371
439140.704,6128592.965,0,9.091,0.312,0.297
477834.171,6170804.02,0,17.042,0.288,0.196
433613.065,6175326.633,0,7.561,0.32,0.362
461753.769,6157738.693,0,16.626,0.312,0.225
455723.618,6170301.508,0,17.712,0.307,0.318
433110.553,6176834.171,0,8.988,0.296,0.324
452206.03,6169798.995,0,24.057,0.26,0.358
451201.005,6177839.196,0,2.786,0.308,0.492
420547.739,6150201.005,0,3.494,0.301,0.32
441653.266,6134623.116,0,16.61,0.256,0.263
449190.955,6163768.844,0,30.637,0.283,0.37
449693.467,6168291.457,0,17.924,0.257,0.431
455221.106,6175326.633,0,16.582,0.281,0.434
437130.653,6119045.226,0,4.864,0.307,0.538
479341.709,6149195.98,0,34.366,0.252,0.287
476326.633,6162763.819,0,9.262,0.29,0.281
460246.231,6152713.568,0,17.478,0.241,0.311
480346.734,6133618.09,0,19.124,0.284,0.349
451703.518,6149195.98,0,17.117,0.274,0.331
457733.668,6168291.457,0,19.325,0.312,0.214
461251.256,6169798.995,0,14.035,0.309,0.348
450195.98,6163768.844,0,23.996,0.269,0.348
479844.221,6163266.332,0,15.576,0.322,0.223
420045.226,6158241.206,0,12.803,0.299,0.217
460748.744,6140653.266,0,17.887,0.272,0.405
452206.03,6179346.734,0,8.801,0.291,0.288
462758.794,6168291.457,0,12,0.259,0.281
480346.734,6169296.482,0,15.519,0.268,0.221
480849.246,6116030.151,0,10.241,0.321,0.586
475321.608,6146683.417,0,12.662,0.332,0.213
472306.533,6175326.633,0,23.723,0.344,0.2
437130.653,6179346.734,0,16.407,0.265,0.298
453713.568,6134120.603,0,11.706,0.232,0.422
467783.92,6141155.779,0,12.477,0.292,0.4
459241.206,6172814.07,0,21.875,0.303,0.311
436125.628,6173316.583,0,14.86,0.261,0.263
479341.709,6121055.276,0,16.611,0.253,0.387
470296.482,6175326.633,0,14.864,0.337,0.199
459743.719,6178341.709,0,31.087,0.252,0.336
474819.095,6164271.357,0,6.139,0.243,0.271
460748.744,6167286.432,0,10.738,0.276,0.223
449190.955,6163266.332,0,31.032,0.285,0.372
453713.568,6168291.457,0,28.032,0.262,0.208
437633.166,6138643.216,0,12.354,0.292,0.305
443663.317,6158743.719,0,8.114,0.322,0.319
458236.181,6157236.181,0,12.958,0.295,0.079
475321.608,6161256.281,0,20.911,0.315,0.355
444165.829,6170804.02,0,20.297,0.264,0.29
432105.528,6123567.839,0,9.887,0.258,0.425
419040.201,6151708.543,0,0,0.333,0.401
479844.221,6164773.869,0,20.423,0.309,0.196
440145.729,6152713.568,0,23.409,0.287,0.271
444668.342,6146683.417,0,13.526,0.29,0.383
440145.729,6148693.467,0,17.026,0.307,0.282
479844.221,6168793.97,0,20.195,0.289,0.203
443160.804,6125577.889,0,7.67,0.314,0.384
431603.015,6161256.281,0,15.292,0.259,0.264
442155.779,6159748.744,0,3.791,0.304,0.384
421552.764,6153718.593,0,0,0.264,0.401
447683.417,6153216.08,0,21.64,0.263,0.321
433613.065,6140653.266,0,9.08,0.283,0.269
427582.915,6156231.156,0,14.142,0.228,0.293
457231.156,6159246.231,0,3.513,0.299,0.084
470798.995,6177839.196,0,12.187,0.336,0.296
463261.307,6127085.427,0,8.801,0.252,0.384
466276.382,6179346.734,0,18.778,0.239,0.223
443663.317,6131105.528,0,12.464,0.295,0.366
436125.628,6179346.734,0,14.616,0.252,0.318
468286.432,6187386.935,0,18.084,0.283,0.29
456226.131,6186381.91,0,17.004,0.299,0.439
464266.332,6181859.296,0,25.303,0.252,0.32
465773.869,6180351.759,0,22.235,0.282,0.246
421552.764,6198442.211,0,36.03,0.297,0.303
424567.839,6184874.372,0,29.136,0.309,0.228
451703.518,6192914.573,0,7.417,0.277,0.292
497934.673,6191407.035,0,26.236,0.29,0.183
493914.573,6203969.849,0,12.125,0.325,0.381
498939.698,6203467.337,0,6.145,0.284,0.304
491402.01,6185376.884,0,22.411,0.311,0.318
492909.548,6199447.236,0,29.116,0.282,0.186
491904.523,6197939.698,0,22.597,0.312,0.197
486376.884,6183869.347,0,16.372,0.328,0.358
495422.111,6183366.834,0,18.51,0.295,0.405
490899.497,6195427.136,0,9.348,0.318,0.197
495422.111,6184371.859,0,21.806,0.305,0.477
488386.935,6182864.322,0,18.685,0.299,0.312
488889.447,6202462.312,0,16.876,0.269,0.433
484869.347,6202964.824,0,14.084,0.302,0.248
482859.296,6183366.834,0,23.877,0.286,0.237
483864.322,6181859.296,0,16.824,0.295,0.229
493914.573,6187889.447,0,24.279,0.325,0.342
485371.859,6197939.698,0,9.157,0.342,0.36
482859.296,6194422.111,0,15.567,0.268,0.309
495924.623,6183869.347,0,19.917,0.319,0.427
484366.834,6184874.372,0,14.468,0.286,0.269
499944.724,6187889.447,0,27.127,0.282,0.328
485371.859,6185879.397,0,12.783,0.304,0.221
492407.035,6195427.136,0,7.561,0.321,0.218
483864.322,6179849.246,0,12.953,0.291,0.263
486376.884,6203969.849,0,14.236,0.295,0.339
486376.884,6188894.472,0,11.163,0.286,0.307
491402.01,6189899.497,0,15.299,0.304,0.36
484869.347,6180854.271,0,11.332,0.298,0.351
481854.271,6182361.809,0,19.588,0.33,0.202
506979.899,6185376.884,0,16.73,0.268,0.178
484869.347,6183869.347,0,15.022,0.303,0.301
482859.296,6194924.623,0,14.485,0.277,0.313
490899.497,6181356.784,0,21.499,0.328,0.278
481351.759,6188391.96,0,14.995,0.286,0.299
462256.281,6183366.834,0,30.305,0.256,0.207
455221.106,6193919.598,0,23.664,0.323,0.239
502457.286,6200954.774,0,37.504,0.293,0.237
477331.658,6118542.714,0,9.802,0.29,0.535
497934.673,6187386.935,0,33.079,0.259,0.308
412005.025,6162261.307,0,21.75,0.276,0.443
422055.276,6155728.643,0,8.879,0.291,0.383
464768.844,6140653.266,0,20.22,0.271,0.169
498939.698,6123065.327,0,25.877,0.288,0.297
443663.317,6142663.317,0,1.179,0.295,0.485
490899.497,6178341.709,0,31.058,0.307,0.542
474316.583,6157236.181,0,20.402,0.291,0.309
482356.784,6169296.482,0,18.512,0.331,0.259
502959.799,6187889.447,0,7.365,0.286,0.369
485371.859,6124070.352,0,22.754,0.309,0.428
437633.166,6149698.492,0,14.601,0.324,0.355
414517.588,6190904.523,0,11.071,0.265,0.371
429090.452,6139648.241,0,12.744,0.308,0.375
478839.196,6197437.186,0,10.094,0.26,0.307
427080.402,6179849.246,0,18.93,0.269,0.195
440145.729,6144170.854,0,6.389,0.275,0.383
456728.643,6158241.206,0,11.256,0.289,0.128
459743.719,6196432.161,0,22.107,0.295,0.34
419040.201,6133115.578,0,4.408,0.273,0.31
463763.819,6113517.588,0,2.926,0.293,0.554
416025.126,6165778.894,0,16.552,0.297,0.201
432608.04,6159748.744,0,5.01,0.277,0.423
483864.322,6130603.015,0,22.886,0.267,0.323
451201.005,6204974.874,0,32.337,0.29,0.102
447180.905,6206482.412,0,23.891,0.344,0.351
495924.623,6146683.417,0,28.869,0.285,0.226
509994.975,6184874.372,0,11.723,0.269,0.292
508487.437,6151708.543,0,25.629,0.293,0.316
470296.482,6135125.628,0,14.05,0.303,0.292
441653.266,6111507.538,0,0.092,0.318,0.537
445170.854,6137638.191,0,8.543,0.275,0.319
475321.608,6177336.683,0,17.469,0.303,0.292
466778.894,6121055.276,0,8.933,0.285,0.498
435120.603,6129597.99,0,7.785,0.325,0.283
505974.874,6202462.312,0,39.279,0.282,0.179
452708.543,6164271.357,0,15.311,0.284,0.382
428085.427,6171809.045,0,14.846,0.254,0.31
449693.467,6114522.613,0,8.704,0.325,0.536
423562.814,6127085.427,0,16.395,0.279,0.207
486879.397,6191909.548,0,15.151,0.265,0.196
493914.573,6170804.02,0,26.785,0.303,0.319
471804.02,6117035.176,0,9.151,0.285,0.482
418537.688,6175326.633,0,6.703,0.297,0.417
434115.578,6152713.568,0,9.6,0.265,0.263
489894.472,6209497.487,0,17.149,0.299,0.392
